artf_name,artf_description
CC_114_SRC,"Class GUILogin Date: 18/09/2003 
                                                  Version: 
                                                  0 01 000 
Description Make the mask that guides the patient 
                   the inclusion of the code of hospital card 
                   and PIN 
Attributes 
       Name Access Description 
Private btnAnnulla button used to return 
                              implemented by the mask 
                              GUISfondo 
Private btnCancella button used to delete 
                              the last digit typed on 
                              panelKeys 
Private btnEsegui button used to confirm 
                              data 
Private panelDisplay Panel used to see 
                              codes inserted through the 
                              panelKeys 
Private panelKeys panel containing the keypad 
                              Numerical be used to insert 
                              the code of his hospital card 
                              and your PIN 
Methods 
       Signature showLoginError () Public Access 
    Description Show an error message when 
                   in the process of validation of the patient not 
                   be successful 
       Signature show () Public Access 
    Description View mask 
       Signature login () Public Access 
    Description Manages the event generated by the patient when 
                   Hospital after inserting the card and PIN starts 
                   validation procedure 
       Signature logout () Public Access 
    Description Manages the event generated by the patient when 
                   abandons the system"
CC_115_SRC,"Class GUIPrincipale Date: 18/09/2003 
                                                  Version: 
                                                  0 01 000 
Description Make the main form of 
                 Easy Clinic2003 Box Tower This form is 
                 task of guiding the patient in the choice of 
                 information to be displayed 
Attributes 
      Name Access Description 
Private btnAnagrafica button used to access the 
                            Personal Details section 
Private btnCartellaClin button used to access the 
ica section Folder Clinic 
Private btnPrenotazioni button used to access the 
                            Reservations section 
Private btnUscita button used to leave 
                            application 
Methods 
       Signature show () Public Access 
   Description View mask 
       Signature abilitaAccesso () Public Access 
    Description Manages the event generated when the procedure 
                   validation ends with the success 
                   Patient is then enabled 
       Signature cartellaClinica () Public Access 
    Description Manages the event generated when the patient 
                   obtained access click Folder 
                   Clinic to access your folder 
                   Clinic
       Signature datiPaziente () Public Access 
    Description Manages the event generated when the patient 
                   obtained access click the button Data 
                   Details to view its data 
                   details 
       Signature reservations () Public Access 
    Description Manages the event generated when the patient 
                   obtained access click the button 
                   Reservations to see reservations 
                   which set"
CC_116_SRC,"Class GUIAnagrafica Date: 18/09/2003 
                                                   Version: 
                                                   0 01 000 
Description Make the mask used to show 
                   detail the anagrafica data of 
                   Patient 
Attributes 
       Name Access Description 
Private btnRitorna button used to return to 
                            mask GUIPrincipale 
Private panelDati panel containing all the data 
                            aagrafica on the Patient 
Methods 
       Signature visualizzaAnagrafica () Public Access 
    Description Manages viewing anagrafica data 
                   Master Patient 
      Signature getAnagrafica () Public Access 
    It gets the description of anagrafica patient data that 
                   log on"
CC_117_SRC,"Class GUIPrenotazioni Date: 18/09/2003 
                                                   Version: 
                                                   0 01 000 
Description Make the mask used for 
                   reservation of display 
                   by Patient 
Attributes 
       Name Access Description 
Private btnRitorna button used to return 
                              to mask GUIPrincipale 
Private gridElenco Grid in which 
                              Only the reservations 
                              meet the search criteria 
                              set by the Patient 
Private listaAppuntament list containing all 
reservation made by Patient 
Private panelParametri panel containing all objects 
                              giving the possibility to Patient 
                              to set the parameters for research 
                              reservations: start date 
                              search and filtering type visit 
Methods 
       Signature visualizzaPrenotazioni () Public Access 
    Description Filter and displays reservations in 
                   listaAppuntamenti based on the criteria chosen by 
                   Patient and displays the results in gridElenco 
       Signature getPrenotazioni () Public Access 
    Description Get the list of reservation 
                   by Patient"
CC_118_SRC,"Class GUICartellaClinica Date: 18/09/2003 
                                                   Version: 
                                                   0 01 000 
Description Make the mask used for 
                   viewing the clinic folder of 
                   Patient 
Attributes 
       Name Access Description 
Private btnDettagli button used to display the 
                             details of the visit selected 
Private btnRitorna button that allows you to return 
                             the main form GUIPrincipale 
Private panelDatiAnagraf panel containing the anagrafica data 
ici Patient 
Private panelElencoVisit panel containing a grid in 
and what appear visits 
                             that the patient claimed 
Methods 
       Signature visualizzaDatiPaziente () Public Access 
    See description at the top of 
                   mask the anagrafica data of patient 
       Signature visualizzaElencoVisite () Public Access 
    Description View Grille (panelDatiAnagrafici) 
                   containing the visits paid by Patient 
       Signature getCartellaClinica () Public Access 
    Get the description of clinic folder of patient
       Signature dettagliVisita () Public Access 
    Description Manages the event generated by the patient when 
                   Decides to view the details of a visit 
                   clicking on the button in the details 
                   mask implemented by GUICartellaClinica"
CC_119_SRC,"Class GUIVisita Date: 18/09/2003 
                                                   Version: 
                                                   0 01 000 
Description Make the mask on visits 
                   offers the opportunity to view patient 
                   detailed data for a visit 
Attributes 
       Name Access Description 
Private btnNext button used to see 
                              the subsequent examination of the 
                              Visit concerned 
Private btnPrev button used to see 
                              The previous examination of the 
                              Visit concerned 
Private btnRitorna button used to return 
                              to the form of clinic folder 
                              (GUICartellaClinica) 
Private panelDatiEsami panel containing data on 
                              a review carried out by Patient 
Private panelDatiVisita panel containing all data 
                              for a visit 
Methods 
       Signature create () Public Access 
    Description Manufacturer of Class 
       Signature destroy () Public Access 
    Destroyer description of the class 
       Signature getDettagliVisita () Public Access 
    Description Get the details of a visit"
CC_120_SRC,"Class GUILogin Date: 16/09/2003 
                                                   Version: 
                                                  0 01 000 
Description Make the mask that guides Operator 
                   during the validation 
Attributes 
       Name Access Description 
Private btnAnnulla button used to end 
                              the implementation of Easy Clinic 2003 
                              Operator 
Private btnEsegui button used to confirm 
                              data 
Private panelDati panel containing the boxes 
                              text where the operator enters the 
                              login 
Methods 
       Signature showLoginError () Public Access 
    Description Show an error message if 
                   in the process of validation 
                   is not successful 
       Signature login () Public Access 
    Description Manages the event generated when the patient 
                   start the process of validation 
       Signature logout () Public Access 
    Description Manages the event when the operator leaves 
                   the system"
CC_121_SRC,"Class GUIPrincipale Date: 18/09/2003 
                                                  Version: 
                                                  0 01 000 
Description Make the main form of 
                 Easy Clinic2003 Box Tower This form is 
                 task of guiding the patient in the choice of 
                 information to be displayed 
Attributes 
      Name Access Description 
Private btnAnagrafica button used to access the 
                            Anagrafica section 
Private btnCartellaClin button used to access the 
ica section Folder Clinic 
Private btnPrenotazioni button used to access the 
                            Reservations section 
Private btnUscita button used to leave 
                            application 
Methods 
      Name show () Public Access 
   Description View mask 
       Signature abilitaAccesso () Public Access 
    Description Manages the event generated when the procedure 
                   validation goes well 
       Signature laboratories () Public Access 
    Description Manages the event generated when the Operator 
                   access to the section devoted to the laboratories 
       Signature management () Public Access 
    Description Manages the event generated when the Operator 
                   access to the section on the management 
                   of the outpatient
       Signature doctors () Public Access 
    Description Manages the event generated when the Operator 
                   access to the section on management 
                   data on doctors who are outpatient
       Signature primaVisita () Public Access 
    Description Manages the event generated when the Operator 
                   start the procedure of reservation a first 
                   visit 
       Signature Tours () Public Access 
    Description Manages the event generated when the Operator 
                   access to the section on management 
                   visits 
       Signature Reservations () Public Access 
    Description Manages the event generated when the Operator 
                   Reservations access to the section to have a 
                   report them"
CC_122_SRC,"Class GUIAnagrafica Date: 16/09/2003 
                                                  Version: 
                                                  0 01 000 
Description abstract class used to define 
                   GUIAnagraficaLaboratorio of classes and 
                   GUIAnagraficaMadico 
Attributes 
       Name Access Description 
Private btnElimina button that allows you to start 
                              delete procedure 
                              the anagrafica of a laboratory or 
                              a doctor 
Private btnModifica button that allows you to start 
                              procedure for changing th anagrafica
                              a laboratory or doctor 
Private btnNuovo button that allows you to start 
                              procedure for input a 
                              laboratory or doctor 
Private panelDati panel containing all the data 
                              concerning their age in 
                              examination 
Methods 
       Signature notificaSuccesso () Public Access 
    Description Displays a message to notify the 
                   success of the operation carried out 
                   by operator"
CC_123_TRG,"Class GUIAnagraficaLaboratorio Date: 
                                                   16/09/2003 
                                                   Version: 
                                                   0 01 000 
Description Make the mask on the management 
                   the anagrafica of laboratories 
Attributes 
       Name Access Description 
Private gridElencoLaborat list containing the information 
gold key laboratories registered 
                              within S I O 
Methods 
       Signature visualizzaDatiLaboratorio () Public Access 
    Description View details of the laboratory 
                   selected in the panelDati 
       Signature visualizzaElencoLaboratori () Public Access 
    Description View list of laboratories registered 
                   in the S I O 
     Signature gestioneAnagrafica () Public Access 
  It description of the retrieval of all information 
                necessary for the organization of the mask 
                implemented by GUIAnagraficaLaboratorio

"
