tc_name,BR_945665_SRC,BR_1127927_SRC,BR_1154922_SRC,BR_1223550_SRC,BR_1265967_SRC,BR_1266270_SRC,BR_1271395_SRC,BR_1271766_SRC,BR_1271774_SRC,BR_1274459_SRC,BR_1274712_SRC,BR_1276070_SRC,BR_1276152_SRC,BR_1276447_SRC,BR_1276656_SRC,BR_1276818_SRC,BR_1276884_SRC,BR_1276966_SRC,BR_1277114_SRC,BR_1277151_SRC,BR_1277257_SRC
TC_1_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_2_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_3_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_4_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_5_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_6_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_7_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_8_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_9_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_10_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_11_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_12_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TC_13_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_14_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_15_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_16_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
TC_17_TRG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
