bug_number,new_awesome_bar,windows_child_mode,apz_async_scrolling,browser_customization,pdf_viewer,context_menu,w10_comp,tts_in_desktop,tts_in_rm,webgl_comp,video_and_canvas_render,pointer_lock_api,webm_eme,zoom_indicator,downloads_dropmaker,webgl2,flac_support,indicator_device_perm,flash_support,notificationbox,update_directory
1181835,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1248267,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1248268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1257087,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1264988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1267480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1267501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1269348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1269485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1270274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1270983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1271607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1276120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1277937,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1278388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1279140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1279143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1279864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1281190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1281493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1282759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1283542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1285041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1285328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1287384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1287687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1287748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1287823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1289240,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1289832,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1290424,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1291770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1292566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1292573,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1293308,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1294733,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1294887,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1295502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1296322,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1296366,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1296861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1297336,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1297374,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1297686,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
