bug_number,new_awesome_bar,windows_child_mode,apz_async_scrolling,browser_customization,pdf_viewer,context_menu,w10_comp,tts_in_desktop,tts_in_rm,webgl_comp,video_and_canvas_render,pointer_lock_api,webm_eme,zoom_indicator,downloads_dropmaker,webgl2,flac_support,indicator_device_perm,flash_support,notificationbox,update_directory
1315514,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1316126,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0
1335538,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
1357458,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0
1365887,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1408361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1430603,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1432915,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1449700,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1451475,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
